feed_id,agency,country,producer_url,download_url,download_status,download_utc,file_bytes,sha256,licence_catalogue_tag,duplicate_of
mdb-195,10-15 Transit,US,http://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,https://files.mobilitydatabase.org/mdb-195/mdb-195-202604250036/mdb-195-202604250036.zip,cached,2026-07-31T18:28:25.342324+00:00,76974.0,b6e3e9f545b7f85c7834762efe4ae99b02748c751cc20fd9397a4d9414a2b37a,,
mdb-440,128 Business Council,US,http://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,https://files.mobilitydatabase.org/mdb-440/mdb-440-202406071528/mdb-440-202406071528.zip,cached,2026-07-31T18:28:25.343714+00:00,547334.0,40a0fe5a7f658a1a2fcfb81344797bc07652dc72b49ded0a9beaf1096172a96e,,
mdb-1813,"14-Seater Paratransit Taxi, Buses operated by Pioneer or Awakula Enumme",UG,https://gitlab.com/digitaltransport/data/africa/kampala/-/raw/master/GTFS/GTFS.zip?inline=false,https://files.mobilitydatabase.org/mdb-1813/mdb-1813-202406071506/mdb-1813-202406071506.zip,cached,2026-07-31T18:28:25.346861+00:00,2288313.0,c9471c3d5eef87914a54edd87b7e88118457f5a173c21f8ccac356b1dcf5339e,,
mdb-1867,"81 Connection, CityGo, KanConnect",US,https://salinacitygo.com/wp-content/uploads/2022/11/export-2022-11-30T10-18-07.zip,https://files.mobilitydatabase.org/mdb-1867/mdb-1867-202408010135/mdb-1867-202408010135.zip,cached,2026-07-31T18:28:25.348354+00:00,113835.0,5a33e87229f4225a76ad67db2b378a5c71bb9fecb99d8db5e7dadae1c1756ccd,,
mdb-1866,"Abate Molina Ltda, Sotratal s.a, Taxutal s.a, Interbus, Talmocur, Buscarril",CL,https://datos.gob.cl/dataset/22fa7b82-50ec-4c85-aa89-709a8e0dd268/resource/f4526a2f-dd8e-4943-ab12-be997ce04fbb/download/talca1sep16.zip,https://datos.gob.cl/dataset/22fa7b82-50ec-4c85-aa89-709a8e0dd268/resource/f4526a2f-dd8e-4943-ab12-be997ce04fbb/download/talca1sep16.zip,failed,2026-07-31T18:28:37.747766+00:00,,,,
mdb-166,ABQ RIDE,US,https://data.cabq.gov/transit/gtfs/google_transit.zip,https://files.mobilitydatabase.org/mdb-166/mdb-166-202606060001/mdb-166-202606060001.zip,cached,2026-07-31T18:28:38.768375+00:00,1018576.0,a88d43f750263c0e70dbc4281c9d9d2f62439f8563ae895ce27b3212da2e996c,http://www.cabq.gov/abq-data/abq-data-disclaimer-1,
mdb-3235,"ABuss OÜ, Aktsiaselts Hansa Bussiliinid, Aktsiaselts MK Autobuss, Alukvik OÜ, Arilix OÜ, AS Lux Express Estonia, Asunduse osaühing, ATG Bussiliinid OÜ, Atko Bussiliinid AS, ATKO Liinid OÜ, ATKO Transport OÜ, Ekspress-Auto L Osaühing, Ekspressbussiliinid osaühing, Elmar Purga FIE, ELRON, Estonian Lines OÜ, GoBus AS, HANSABUSS AS, Kalle Bussid OÜ, MEELIS HEEK, MK Reis-X OÜ, NAJA OÜ, Osaühing Bristol Takso, OSAÜHING FREMANTI, osaühing Tulisilm, OV Ida-Bus OÜ, OÜ Baltic Shuttle, PRESTO osaühing, Radix Transport OÜ, Rannu Rukkilill E.S.T. OÜ, Saaremaa vald, SEBE Aktsiaselts, Sirel Reisid OÜ, Taisto Express OÜ, Tallinna Linnatranspordi AS, TS Laevad OÜ, Tõnu Tours OÜ, Valgis osaühing",EE,https://eu-gtfs.remix.com/estonia_unified_gtfs.zip,https://files.mobilitydatabase.org/mdb-3235/mdb-3235-202607310144/mdb-3235-202607310144.zip,cached,2026-07-31T18:28:38.902089+00:00,49363531.0,5dfa1f587b41a29e9d785df64e8e0b629eca7ae63855380b2ccf03833138b508,https://www.agri.ee/regionaalareng-uhistransport/uhistransport-ja-reisimine/uhistranspordiregistri-avaandmed,
mdb-209,Academy Bus,US,https://s3.amazonaws.com/datatools-511ny/public/Academy_Express_-_Staten_Island.zip,https://files.mobilitydatabase.org/mdb-209/mdb-209-202402080009/mdb-209-202402080009.zip,cached,2026-07-31T18:28:38.903553+00:00,34932.0,0e40d642ea3e4a883f86b6d6aef21527d0fde9f8ea7704877a0c56e0c31fc72b,,
ntd-20122,Academy Lines,US,https://www.njtransit.com/Academy_bus_data.zip,https://files.mobilitydatabase.org/ntd-20122/ntd-20122-202606110109/ntd-20122-202606110109.zip,cached,2026-07-31T18:28:38.905077+00:00,506622.0,6dd2814e9f295087f6d95a8b34fb50c322bdd868cbf08e41424dc8e0f9ff1bf9,,
tld-6900,Acadia National Park,US,https://www.nps.gov/external-resources/gtfs/acad/island-explorer.zip,https://files.mobilitydatabase.org/tld-6900/tld-6900-202606230000/tld-6900-202606230000.zip,cached,2026-07-31T18:28:38.906426+00:00,228414.0,332a888570fe34c3fd8f39b8ec638054e707e7a4097fc2a645f1248c13466ea3,,
